director_id,director
0,Fred Cavayé
1,David Cronenberg
2,Charlie McDowell
3,Destin Daniel Cretton
4,Vittorio De Sica
5,Stéphane Aubier
6,Vincent Patar
7,Henry Alex Rubin
8,Eric Hurt
9,Paul W.S. Anderson
10,Noam Murro
11,Mel Gibson
12,Patrick Tatopoulos
13,Anthony Leonardi III
14,Alejandro Hidalgo
15,Michael Lander
16,Reginald Le Borg
17,Wai-Keung Lau
18,Alan Mak
19,Paco Plaza
20,Franklin J. Schaffner
21,Amy Heckerling
22,Krzysztof Kieslowski
23,Ficarra
24,Picone
25,Shimit Amin
26,Oliver Stone
27,Peter Jackson
28,Jacques Tati
29,James Merendino
30,Glenn Ficarra
31,John Requa
32,Scott Hicks
33,Matthew Vaughn
34,Larry Charles
35,Jeremy Leven
36,Yuri Mamin
37,John Stockwell
38,Craig Moss
39,Sam Mendes
40,Rick Rowley
41,John N. Smith
42,Tom Hooper
43,Mike Leigh
44,Jonas Mekas
45,Robert Redford
46,Mike Nichols
47,Richard Donner
48,Will Gluck
49,Paul Thomas Anderson
50,Tony Scott
51,Boris Aljinovic
52,Harald Siepermann
53,Billy Wilder
54,Dennis Dugan
55,Dan Scanlon
56,Ingmar Bergman
57,Mark Mylod
58,Ethan Coen
59,Joel Coen
60,Kamal Tabrizi
61,Michael Brandt
62,Luc Jacquet
63,Wes Ball
64,Stuart Rosenberg
65,Lasse Hallström
66,Henry Bean
67,Edgar Wright
68,Michael Radford
69,Vic Armstrong
70,Frank Oz
71,Olaf de Fleur Johannesson
72,Ridley Scott
73,Jon Stewart
74,Martin Campbell
75,Daniel Monzón
76,Bobby Farrelly
77,Peter Farrelly
78,Darren Aronofsky
79,Robert Benton
80,Jim Abrahams
81,David Zucker
82,Jerry Zucker
83,Ang Lee
84,Burr Steers
85,Bill Condon
86,Leni Riefenstahl
87,Michael Mann
88,Andrew Dominik
89,Brian Savelson
90,Tze Chun
91,Stan Winston
92,Penny Marshall
93,Christopher Nolan
94,Wolfgang Petersen
95,Alfred Hitchcock
96,Dino Risi
97,Marc Webb
98,Seth MacFarlane
99,Johnnie To
100,Jules Bass
101,Arthur Rankin Jr.
102,Stanley Kubrick
103,Richard Shepard
104,James Wong
105,Tom Shadyac
106,Nadine Labaki
107,David Robert Mitchell
108,Terry Gilliam
109,Simon Barrett
110,Jason Eisener
111,Gareth Evans
112,Gregg Hale
113,Eduardo Sánchez
114,Timo Tjahjanto
115,Adam Wingard
116,Victor Salva
117,Greg McLean
118,Michael J. Bassett
119,Maggie Carey
120,Niki Caro
121,Gregory Hoblit
122,Sarah Smith
123,Barry Cook
124,Taylor Hackford
125,Brad Anderson
126,Michael Cimino
127,Quentin Tarantino
128,Steven Spielberg
129,Ti West
130,Kadir Balci
131,Michael Bay
132,Sylvester Stallone
133,Steve Gomer
134,Peyton Reed
135,Vincente Minnelli
136,Michael Lembeck
137,Navaniat Singh
138,Zoya Akhtar
139,Spike Jonze
140,Zhora Kryzhovnikov
141,Woody Allen
142,Peter Hyams
143,Mikio Naruse
144,Maïwenn
145,Adam McKay
146,Alan White
147,Diederik Van Rooijen
148,Chan-wook Park
149,Víctor González
150,Jason Trost
151,Brett Morgen
152,Rod Lurie
153,Angelina Jolie
154,Barbra Streisand
155,Nagesh Kukunoor
156,Elia Kazan
157,Jamie Babbit
158,Kevin Carraway
159,Dean Parisot
160,Thor Freudenthal
161,Joby Harold
162,Asghar Farhadi
163,Sergio Leone
164,David Ayer
165,Grant Heslov
166,Jorge R. Gutiérrez
167,Barry Sonnenfeld
168,Lena Koppel
169,Terry Jastrow
170,Paul Greengrass
171,David Wain
172,Ken Kwapis
173,Gabriela Cowperthwaite
174,Jason Reitman
175,Hayao Miyazaki
176,Eric Heisserer
177,McG
178,Jonathan Mostow
179,Sanaa Hamri
180,Ki-duk Kim
181,Pierre Coffin
182,Chris Renaud
183,Tamara Jenkins
184,Dennis Gansel
185,John G. Avildsen
186,Mikael Håfström
187,Sidney Poitier
188,Duncan Jones
189,Daniel Stamm
190,Gavin Hood
191,Rupert Sanders
192,Marcello Macchia
193,Rick Rosenthal
194,Andy Wachowski
195,Lana Wachowski
196,Justin Lin
197,Richard Ayoade
198,Alex Proyas
199,James Wan
200,Omid Nooshin
201,Matthew Ryan Hoge
202,Laura Poitras
203,Reem Kherici
204,Mike Mitchell
205,Frank Coraci
206,Takashi Miike
207,Victor Fleming
208,George Cukor
209,Mervyn LeRoy
210,Norman Taurog
211,King Vidor
212,Paul Feig
213,Noah Baumbach
214,Sandra Nettelbeck
215,Charlotte Brändström
216,Peter Faiman
217,Tim Burton
218,Jonathan Kaplan
219,David Gordon Green
220,Guy Hamilton
221,Sergio Bianchi
222,Emilio Portes
223,David Brooks
224,Bennett Miller
225,C. Jay Cox
226,Hong-seon Kim
227,Sanjay Leela Bhansali
228,Mitchell Lichtenstein
229,Vikramaditya Motwane
230,Daniel Cohen
231,Brett Leonard
232,Steven Soderbergh
233,Brian De Palma
234,Lee Daniels
235,Majid Majidi
236,Yaron Zilberman
237,Peter Weir
238,Jan Komasa
239,Stuart Baird
240,Robert Luketic
241,Jalmari Helander
242,Pierre Morel
243,Roger Spottiswoode
244,Pat O'Connor
245,Jake Schreier
246,Jim Mickle
247,Jon Turteltaub
248,Wilson Yip
249,Roland Emmerich
250,Yann Samuell
251,Rufus Norris
252,Elliott Lester
253,Isao Takahata
254,Ted Post
255,Sergio Castellitto
256,Scott Derrickson
257,Justin Reardon
258,M. Night Shyamalan
259,Rowan Joffe
260,Chris Columbus
261,Bradley Parker
262,Bryan Singer
263,J.C. Chandor
264,Allen Coulter
265,Michaël Youn
266,Guy Ritchie
267,Denis Villeneuve
268,Francis Lawrence
269,Aamir Khan
270,Amole Gupte
271,Marlen Khutsiev
272,Michael Anderson
273,Todd Phillips
274,Drew Tobia
275,Norman Jewison
276,Paddy Considine
277,Doug Liman
278,Larysa Kondracki
279,Gus Van Sant
280,Krishna D.K.
281,Raj Nidimoru
282,Jean-Jacques Annaud
283,Tara Johns
284,Anand Gandhi
285,Michael Greenspan
286,Cameron Crowe
287,David Fincher
288,Christopher McQuarrie
289,Pete Travis
290,Jean-Luc Godard
291,Alan Parker
292,Lake Bell
293,A.R. Murugadoss
294,Francis Veber
295,Martin Scorsese
296,Drew Pearce
297,William Friedkin
298,Ivan Reitman
299,Cristi Puiu
300,Troy Duffy
301,Shane Black
302,Ralph Fiennes
303,Brian G. Hutton
304,Mike Newell
305,Don Taylor
306,Mike Hodges
307,Barry Levinson
308,Keoni Waxman
309,Nicole Kassell
310,Jeff Wadlow
311,Alan Polsky
312,Gabe Polsky
313,Greg Mottola
314,Henry King
315,Paul Wendkos
316,D.J. Caruso
317,Michael Haneke
318,Stephen Sommers
319,Alejandro Amenábar
320,Steve Clark
321,John Luessenhop
322,Mathieu Kassovitz
323,Andrew Black
324,Paul Haggis
325,Paul Hyett
326,Brandon Camp
327,Camille Delamarre
328,Clint Eastwood
329,John Curran
330,Andrew Stanton
331,Mani Haghighi
332,Roman Coppola
333,Bill Kroyer
334,C.J. Hunt
335,Nancy Meyers
336,Asif Kapadia
337,Keishi Ohtomo
338,Forugh Farrokhzad
339,Danny Boyle
340,Jee-woon Kim
341,Ben Shapiro
342,Peter Ramsey
343,Alex Garland
344,Biyi Bandele
345,George Miller
346,Gary Eck
347,David Peers
348,Joe Wright
349,Jim Henson
350,Robert Schwentke
351,Dwight H. Little
352,Joe Carnahan
353,Wes Craven
354,Anurag Basu
355,Jonathan Liebesman
356,Robert Houston
357,George P. Cosmatos
358,Olivier Megaton
359,John Carpenter
360,John Hillcoat
361,Michel Gondry
362,John Guillermin
363,David Silverman
364,Dean DeBlois
365,Chris Sanders
366,Paul Schrader
367,Jake Kasdan
368,Julie Delpy
369,William Baker
370,Matt Reeves
371,Shawn Levy
372,Phil Lord
373,Christopher Miller
374,James Ponsoldt
375,Erol Özlevi
376,John Gulager
377,Etan Cohen
378,Mike Flanagan
379,André van Duren
380,Damien Chazelle
381,Michiel ten Horn
382,John Slattery
383,Nick Cassavetes
384,Jeff Tremaine
385,Guillermo Arriaga
386,Gregor Jordan
387,John Roberts
388,Paris Barclay
389,Björne Larson
390,Susanne Bier
391,Louis Leterrier
392,Jerzy Skolimowski
393,Jonathan Brough
394,Jonathan Tzachor
395,Fede Alvarez
396,John McNaughton
397,Jirí Menzel
398,Bill Paxton
399,David Lean
400,Sepideh Farsi
401,Bernard Rose
402,David Zellner
403,Takeshi Kitano
404,John Dahl
405,Jonathan Segal
406,Rupert Goold
407,Mark Waters
408,Saul Dibb
409,Miguel Arteta
410,Kôji Morimoto
411,Tensai Okamura
412,Katsuhiro Ôtomo
413,Ericson Core
414,Peter de Baan
415,Brad Furman
416,Q. Allan Brocka
417,Peter Templeman
418,William Wyler
419,Fenton Bailey
420,Randy Barbato
421,Paul Verhoeven
422,Fred Zinnemann
423,David Gelb
424,Fernando Meirelles
425,David Dobkin
426,Luca Guadagnino
427,J.A. Bayona
428,Gore Verbinski
429,Kevin Reynolds
430,James Gray
431,James Ward Byrkit
432,David Anspaugh
433,Shane Carruth
434,Jay Duplass
435,Mark Duplass
436,Philipp Stölzl
437,Shion Sono
438,Alan Taylor
439,Albert Hughes
440,Allen Hughes
441,Tobias Lindholm
442,Noel Clarke
443,Kevin Greutert
444,Peter Howitt
445,Liz Garbus
446,Jon Favreau
447,Cary Joji Fukunaga
448,Craig Johnson
449,Ole Bornedal
450,Kevin Macdonald
451,Walter Hill
452,Ron Morales
453,Lars von Trier
454,Tadayoshi Yamamuro
455,Nora Ephron
456,Peter Hedges
457,Nicolas Winding Refn
458,Irvin Kershner
459,Morgan Neville
460,Travis Mathews
461,Peter Berg
462,J.B. Whirtley
463,Manuel Martín Cuenca
464,Kinka Usher
465,Trish Sie
466,Harald Zwart
467,Kimberly Peirce
468,David Hackl
469,Anne Fletcher
470,Sidney Lumet
471,Jerome Sable
472,Patrick Skeyhill
473,Richard Kelly
474,Denis Henry Hennelly
475,Andrew Levitas
476,Thomas Vinterberg
477,François Truffaut
478,George Pal
479,Christine Jeffs
480,Peter Yates
481,Lewis Teague
482,Felix van Groeningen
483,Stephen Frears
484,James Keach
485,Andrew Davis
486,Don Roos
487,Florian Henckel von Donnersmarck
488,Kat Coiro
489,Michael Hoffman
490,Hakan Yonat
491,Billy Bob Thornton
492,Richard Linklater
493,Dror Moreh
494,Rob Reiner
495,Jacques Audiard
496,Farah Khan
497,Scott Waugh
498,Madhur Bhandarkar
499,James McTeigue
500,Neil Jordan
501,Stephen Finnigan
502,Sean Anders
503,Terrence Malick
504,Roberto Benigni
505,Steve McQueen
506,George Tillman Jr.
507,Alexander Payne
508,Scott McGehee
509,David Siegel
510,Kurt Wimmer
511,Michael Cuesta
512,Aaron Harvey
513,Gareth Edwards
514,Nick Castle
515,Doug Ellin
516,Jack Heller
517,Wolfgang Groos
518,Atom Egoyan
519,Jessy Terrero
520,Antoine Fuqua
521,Bent Hamer
522,Giuseppe Tornatore
523,Ariel Vromen
524,Phyllida Lloyd
525,Sam Miller
526,Wolfgang Becker
527,Peter Landesman
528,Robert Wise
529,Zalman King
530,David Lynch
531,Liz W. Garcia
532,Robert Zemeckis
533,Wes Anderson
534,Jonathan Teplitzky
535,Andy Fickman
536,Ali Abbas Zafar
537,Brett Ratner
538,Xavier Beauvois
539,Todd Strauss-Schulson
540,Alfonso Gomez-Rejon
541,Subhash Kapoor
542,Liam Lynch
543,Josh Gordon
544,Will Speck
545,Bart Layton
546,Henry Koster
547,Francis Ford Coppola
548,Anthony Minghella
549,Anton Corbijn
550,Ricki Stern
551,Anne Sundberg
552,Ken Loach
553,Eric Rohmer
554,Francesca Archibugi
555,James Dearden
556,Robert Altman
557,Gil Kenan
558,Christopher Landon
559,Arnon Goldfinger
560,Gillian Robespierre
561,Henry Selick
562,John Erick Dowdle
563,Sam Benstead
564,Anthony Silverston
565,Renny Harlin
566,Robert Rodriguez
567,Roger Michell
568,Alex Gibney
569,Roman Prygunov
570,Grégory Levasseur
571,James Gunn
572,Daniel G. Karslake
573,John Sayles
574,Larry Clark
575,Baltasar Kormákur
576,Benjamin Turner
577,Gabe Turner
578,Eric Darnell
579,Tom McGrath
580,Ryan Coogler
581,Marc Forster
582,Joseph Kosinski
583,Carlos Saldanha
584,Mike Mills
585,Lorene Scafaria
586,Ben Wheatley
587,Peter Wellington
588,John Singleton
589,Sanne Vogel
590,Stanley Donen
591,Sam Raimi
592,Mamoru Hosoda
593,Pietro Francisci
594,Abderrahmane Sissako
595,Craig Brewer
596,Joe Johnston
597,Alejandro Monteverde
598,Nima Nourizadeh
599,Gary Shore
600,Mark Osborne
601,John Stevenson
602,Rowdy Herrington
603,Morgan O'Neill
604,Scottnes L. Smith
605,Donald Crisp
606,Buster Keaton
607,Dominic Sena
608,Guillermo del Toro
609,Aleksandr Zeldovich
610,John Madden
611,Roman Polanski
612,Jeremy Sims
613,Jim Field Smith
614,Richard Marquand
615,Brian Helgeland
616,David Chase
617,Rich Christiano
618,Abhishek Kapoor
619,Joe Raffa
620,Harold Cronk
621,Julian Jarrold
622,Diego Kaplan
623,David Schwimmer
624,John Huston
625,Christopher Menaul
626,Gaspar Noé
627,Graham Annable
628,Anthony Stacchi
629,Shawn Christensen
630,Olatunde Osunsanmi
631,Spike Lee
632,Yorgos Lanthimos
633,Mark Pavia
634,Tony Kaye
635,Otto Lang
636,Jamie Bradshaw
637,Aleksandr Dulerayn
638,Noboru Iguchi
639,RZA
640,Frank Miller
641,Susannah Grant
642,Jon M. Chu
643,Caradog W. James
644,Chris Weitz
645,Jackie Chan
646,Debra Granik
647,Justin Simien
648,Saschka Unseld
649,Vitaliy Manskiy
650,Jamie Travis
651,Susan Seidelman
652,James Fargo
653,Peter Cattaneo
654,R.J. Cutler
655,Tom Harper
656,Brad Silberling
657,Richard Loncraine
658,Todd Field
659,Malik Bendjelloul
660,Jonathan Glazer
661,Andrew Haigh
662,Baz Luhrmann
663,Han-min Kim
664,Susan Youssef
665,Mary Harron
666,Frédéric Tcheng
667,Malcolm D. Lee
668,Jordan Vogt-Roberts
669,Yasujirô Ozu
670,Chris Carter
671,Russell Mulcahy
672,Jim Sheridan
673,Patricia Birch
674,Gil Junger
675,Richard Eyre
676,Alexandre Moors
677,Lisa Cholodenko
678,Abbas Kiarostami
679,Kyle Balda
680,David Koepp
681,Charles Laughton
682,Robert Mitchum
683,Terry Sanders
684,Michelangelo Frammartino
685,Michel Franco
686,Teresa Suarez
687,Ryan Murphy
688,Yûichi Satô
689,Armand Mastroianni
690,Henry Hathaway
691,Amy Berg
692,James L. Brooks
693,David M. Rosenthal
694,Vincent Paronnaud
695,Marjane Satrapi
696,Andy Tennant
697,Mimi Leder
698,Ben Stiller
699,Rob Cohen
700,Måns Mårlind
701,Björn Stein
702,Roger Allers
703,Rob Minkoff
704,Dennie Gordon
705,Jane Campion
706,Shuki Levy
707,David Winning
708,Ron Howard
709,David Mackenzie
710,Eric Tsang
711,Sofia Coppola
712,Marisa Miller Wolfson
713,Alfonso Cuarón
714,Yvan Attal
715,Bo Mathorne
716,Leos Carax
717,Karin Fahlén
718,Declan Donnellan
719,Nick Ormerod
720,Michael Dowse
721,Joe Dante
722,Tarsem Singh
723,Ruben Amar
724,Lola Bessis
725,Ruben Fleischer
726,John Lee Hancock
727,Christian Ditter
728,Peter Segal
729,Pascal Laugier
730,J. Lee Thompson
731,Jaume Collet-Serra
732,Mike Johnson
733,Zack Snyder
734,Brad Bird
735,Jan Pinkava
